id,name,rating,genre,plot_summary,poster_url,release_year,duration,type
2,"Steve ",8,"Action, Thriller","In the near future, Steve, a brilliant but morally ambiguous scientist, discovers a breakthrough technology capable of altering reality itself. Caught between powerful corporate forces and a government that will stop at nothing to control his invention, Steve must navigate a labyrinth of deception, betrayal, and danger. As he races against time, his past mistakes threaten to unravel his mission, forcing him to confront not only the enemies outside but also the demons within. Amid thrilling chases, high-tech heists, and intense moral dilemmas, the story explores the limits of human ambition, the cost of knowledge, and the struggle to protect what is truly valuable. With moments of intense suspense and a cast delivering captivating performances, ""Steve"" is a cinematic journey that delves deep into the consequences of power, innovation, and the human spirit.",https://m.media-amazon.com/images/M/MV5BYmE4N2ZlNWQtMDRhNC00ZmYzLWI5ODMtODAzZjRiOTkxZGZhXkEyXkFqcGc@._V1_.jpg,2025,1 Hrs 33 Mins,MOVIE
3,"Play Dirty ",8,"Action, Crime","Play Dirty is a gripping saga of a group of unlikely heroes who find themselves embroiled in a dangerous underworld of crime and corruption. Set against a backdrop of city streets teeming with tension, the story follows their desperate struggle for survival, justice, and redemption. Each character carries a personal burden, secrets that threaten to shatter their fragile alliance. As the stakes rise, betrayals are revealed, and loyalties are tested, forcing them to make impossible choices. Explosive confrontations, high-speed pursuits, and intricate schemes drive the narrative, weaving a tale that questions morality, trust, and the fine line between right and wrong. Ultimately, ""Play Dirty"" is a story of courage, resilience, and the relentless pursuit of justice, even when the world is set against you.",https://m.media-amazon.com/images/M/MV5BN2E4MmM2ODctYTIyNS00ZGIxLWJmYjctYTUxYThhNzY4MmMzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2025,1 Hrs 48 Mins,MOVIE
4,"Steve ",8,"Action, Thriller","In the near future, Steve, a brilliant but morally ambiguous scientist, discovers a breakthrough technology capable of altering reality itself. Caught between powerful corporate forces and a government that will stop at nothing to control his invention, Steve must navigate a labyrinth of deception, betrayal, and danger. As he races against time, his past mistakes threaten to unravel his mission, forcing him to confront not only the enemies outside but also the demons within. Amid thrilling chases, high-tech heists, and intense moral dilemmas, the story explores the limits of human ambition, the cost of knowledge, and the struggle to protect what is truly valuable. With moments of intense suspense and a cast delivering captivating performances, 'Steve' is a cinematic journey that delves deep into the consequences of power, innovation, and the human spirit.",https://m.media-amazon.com/images/M/MV5BYmE4N2ZlNWQtMDRhNC00ZmYzLWI5ODMtODAzZjRiOTkxZGZhXkEyXkFqcGc@._V1_.jpg,2025,1 Hrs 33 Mins,MOVIE
5,"Play Dirty ",8,"Action, Crime","Play Dirty is a gripping saga of a group of unlikely heroes who find themselves embroiled in a dangerous underworld of crime and corruption. Set against a backdrop of city streets teeming with tension, the story follows their desperate struggle for survival, justice, and redemption. Each character carries a personal burden, secrets that threaten to shatter their fragile alliance. As the stakes rise, betrayals are revealed, and loyalties are tested, forcing them to make impossible choices. Explosive confrontations, high-speed pursuits, and intricate schemes drive the narrative, weaving a tale that questions morality, trust, and the fine line between right and wrong. Ultimately, 'Play Dirty' is a story of courage, resilience, and the relentless pursuit of justice, even when the world is set against you.",https://m.media-amazon.com/images/M/MV5BN2E4MmM2ODctYTIyNS00ZGIxLWJmYjctYTUxYThhNzY4MmMzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2025,1 Hrs 48 Mins,MOVIE
6,"Downton Abbey The Grand Finale ",8,"Drama, Historical","In the grand finale of the Downton Abbey saga, the Crawley family faces a series of transformative events that test their resilience, relationships, and the legacy of the estate. Against the backdrop of a changing post-war England, secrets long hidden come to light, alliances shift, and personal ambitions clash with duty and tradition. As old friends and rivals return, the family must confront past mistakes, reconciliations, and the passage of time. Lavish settings, period details, and intricate character dynamics bring the story to life, highlighting themes of love, honor, sacrifice, and the enduring strength of family bonds. The finale combines emotional depth, historical context, and dramatic tension, culminating in a poignant and memorable conclusion to a beloved saga.",https://m.media-amazon.com/images/M/MV5BZTUxOWRkN2UtZjBlMS00NWU0LWE2M2ItZmY5MDJjMzlhYTk4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2025,1 Hrs 48 Mins,MOVIE
7,"Holy Ghost ",8,"Horror, Thriller","Holy Ghost follows a young investigative journalist who uncovers a series of disturbing events surrounding an isolated religious commune. As she delves deeper, she discovers dark secrets, supernatural occurrences, and a tangled web of manipulation and fear. The story explores themes of faith, power, and the human psyche, blending suspense, horror, and psychological tension. Every step closer to the truth brings unexpected threats, forcing the protagonist to confront both external dangers and inner fears. With a chilling atmosphere, eerie visuals, and a compelling narrative, 'Holy Ghost' delivers a story of courage, morality, and the struggle between good and evil in a world where the line between reality and the supernatural is disturbingly thin.",https://m.media-amazon.com/images/M/MV5BM2IxNTQxNGEtZTA5Ny00YjZlLTk3YmUtZjg2ODM0Yzc0NTc4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2025,1 Hrs 48 Mins,MOVIE
8,"Presence ",8,"Sci-Fi, Mystery","Presence tells the story of a team of scientists investigating a mysterious energy phenomenon that appears to manipulate reality and consciousness. When the team begins experiencing inexplicable events, they must unravel the origin and purpose of the phenomenon before it overwhelms them entirely. As they venture deeper into the unknown, hidden truths about their own pasts and the nature of existence are revealed. The narrative intertwines suspense, philosophical reflection, and scientific intrigue, questioning the limits of human perception and the consequences of tampering with forces beyond comprehension. 'Presence' is a cerebral and thrilling journey into the unknown, where tension, discovery, and human resilience are constantly tested.",https://m.media-amazon.com/images/M/MV5BMjFkMTM2YzEtNjk2Ny00NjZhLTlkZjgtZDVmNWZmYjAzMDk1XkEyXkFqcGc@._V1_.jpg,2025,1 Hrs 24 Mins,MOVIE
9,"The Woman in the Yard ",8,"Horror, Drama","The Woman in the Yard follows the chilling story of a woman who moves into a seemingly quiet neighborhood only to discover that her new home harbors dark secrets. Unexplained occurrences, eerie sounds, and mysterious neighbors create a tense and suspenseful atmosphere. As she investigates, she uncovers layers of deception, hidden histories, and supernatural threats that endanger her life. Themes of isolation, fear, and resilience drive the narrative, while the protagonist’s courage and determination form the emotional core. Combining psychological horror, thrilling twists, and dramatic moments, 'The Woman in the Yard' delivers a gripping story that keeps audiences on edge until the final revelation.",https://m.media-amazon.com/images/M/MV5BZWNiNTYxMGQtNTZlNC00MjgxLWI0NWEtMDQyYjIxODRkNTQ3XkEyXkFqcGc@._V1_.jpg,2025,1 Hrs 28 Mins,MOVIE
10,"Sunray Fallen Soldier ",8,"War, Action","Sunray Fallen Soldier depicts the harrowing journey of soldiers caught in the chaos of a modern conflict. Through intense battles, personal sacrifices, and moral dilemmas, the narrative explores the human cost of war and the bonds forged in extreme circumstances. The story follows multiple perspectives, highlighting bravery, camaraderie, and the emotional toll of combat. As the soldiers face life-threatening situations, the line between heroism and survival blurs, raising questions about honor, duty, and humanity. Richly detailed action sequences and poignant character arcs create a gripping and emotionally resonant cinematic experience.",https://m.media-amazon.com/images/M/MV5BNWRlMzA2MjktZjY0Zi00OGIyLWExYTMtODRiZjZmODI2YWJjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2025,1 Hrs 55 Mins,MOVIE
11,"Mom ",8,"Thriller, Mystery","Mom is a suspenseful thriller revolving around a mother who uncovers a sinister plot threatening her family. When ordinary life is shattered by unexpected danger, she must rely on wit, courage, and determination to protect her loved ones. The narrative unfolds with twists, tense encounters, and moral challenges, exploring themes of family, loyalty, and sacrifice. With each revelation, the stakes rise, forcing the protagonist to confront powerful adversaries and navigate a labyrinth of deception. 'Mom' combines gripping suspense, emotional depth, and relentless tension, delivering a story that keeps audiences engaged from start to finish.",https://m.media-amazon.com/images/M/MV5BODBjZWJhYWQtNDM2MC00ODYxLTk1YmUtYzNhYjUyNzhiMDNmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2025,1 Hrs 35 Mins,MOVIE
12,"Mantis ",8,"Action, Sci-Fi","Mantis follows an elite operative equipped with advanced technology and unparalleled combat skills, sent on a high-stakes mission to stop a global threat. The plot intertwines futuristic gadgets, espionage, and intense action sequences with a deeper exploration of human resilience, morality, and identity. As Mantis confronts formidable enemies and faces life-altering decisions, the narrative delves into themes of loyalty, trust, and the cost of power. With suspense, high-octane battles, and a richly detailed world, 'Mantis' delivers an exhilarating cinematic experience that merges science fiction and action in a compelling story of heroism and strategy.",https://m.media-amazon.com/images/M/MV5BZDQ2MmEwZmMtNzA4MC00MjljLWIyOWItZjhhMmI0NWJhNzJmXkEyXkFqcGc@._V1_.jpg,2025,1 Hrs 48 Mins,MOVIE
